true,hybrid,strata
1000000.0,2732559.7425395017,Q4
1000.0,1857457.018813717,Q2
6069605.0,25556077.572100043,Q5
325000.0,1983242.3739449617,Q3
368307760.0,215150778.3986078,Q5
33157615.0,76801366.83494169,Q5
2000000.0,2083648.7081888642,Q4
4074023.0,10795798.76265019,Q5
1798500.0,2717950.6414464545,Q2
302459.0,10829776.436551526,Q2
17.0,3180551.8131373944,Q2
1200000.0,4960287.7449197415,Q2
12000000.0,-2168595.6873510694,Q5
200.0,2516662.1164871464,Q2
43000000.0,6941043.638072822,Q2
81089.0,9840440.034037119,Q2
4154000.0,12438700.630285734,Q1
489389.0,10387148.064253593,Q2
2000000.0,6970882.887893754,Q4
6011000.0,10616732.927543173,Q5
29152618.0,68861752.37567422,Q5
7518876.0,15691371.091623276,Q5
73260114.0,42761601.17610734,Q1
351839303.0,211869492.12103814,Q5
10615000.0,7595556.642374009,Q1
120000.0,2210531.466513946,Q3
10375893.0,4899378.358132278,Q2
3.0,1564458.5241753426,Q3
1001305.0,9803014.593378695,Q4
20000.0,2407280.202424787,Q3
20016254.0,12572131.465968348,Q1
31307.0,9749971.60984942,Q3
117501013.0,117187498.1030671,Q5
3000000.0,3700931.454747732,Q4
56631572.0,44866914.166733146,Q5
5086909.0,12651665.19045496,Q1
600000.0,3585475.5621095058,Q3
708973.0,19512617.624401215,Q2
292351275.0,355864230.6081599,Q5
43.0,43324390.325911835,Q1
1015744.0,16222865.42045909,Q2
7270000.0,14203474.805532388,Q1
50000.0,1805814.5008142279,Q3
6191746.0,19651925.499585774,Q5
4.0,1233145.6902377561,Q3
2100000.0,3355281.0691394126,Q4
12638526.0,50328442.69859117,Q5
14000.0,2622718.108500225,Q3
1.0,2309541.385128549,Q2
201055.0,8994809.698248912,Q2
500000.0,1856568.9246204747,Q3
1958955.0,4741262.701319062,Q3
100000.0,1723558.8161698054,Q3
6900000.0,3441708.498500125,Q4
1061.0,8047744.550148185,Q2
2400000.0,3758216.123477326,Q4
1241891456.0,1132061835.0465646,Q5
200723.0,30986043.889380716,Q1
252706.0,8142947.764873886,Q2
3700000.0,3762351.047623799,Q4
4.0,2347057.6950051435,Q2
134906.0,2525210.79316713,Q3
1947099.0,14026609.078555763,Q1
2884265.0,24730634.89968999,Q2
18957.0,15473020.458561001,Q2
1100000.0,3772376.118516336,Q4
13107237.0,9379628.953913262,Q1
200000.0,3553932.20234641,Q3
450.0,1667540.7338498635,Q3
2727971.0,15213781.731981257,Q1
2459000.0,3290688.678470139,Q4
48686605.0,122081394.28643155,Q5
16000000.0,13795588.38680585,Q4
29163535.0,149244525.26896802,Q5
5000000.0,7097914.64517865,Q3
676045.0,3541166.7173542064,Q4
285000.0,13622973.59228883,Q5
65421267.0,16210526.442423422,Q2
340677200.0,132509561.55414021,Q5
13638.0,7382941.29099788,Q2
1029455.0,2318139.7175270063,Q3
10000.0,1657024.3332801878,Q3
17.0,2304510.310200033,Q2
1.0,3241263.3880099235,Q2
117000.0,2578369.641926429,Q3
1000000.0,8555284.90831121,Q1
3000000.0,3304612.3248906992,Q4
33145.0,1791279.9526648875,Q3
27741.0,16082301.094164256,Q1
300.0,1943905.7327675016,Q2
53431158.0,99055850.03706688,Q5
18750000.0,12488835.809715614,Q2
11000.0,1457461.4374020002,Q3
2000000.0,-3686907.385434549,Q1
43625095.0,14557053.429788567,Q4
1.0,53783739.77957783,Q1
160542134.0,247953800.17570096,Q5
15550000.0,11986637.160804963,Q5
80000.0,2737624.9209100306,Q4
467306.0,7940598.086211827,Q4
2066633.0,17683114.31322553,Q2
334000000.0,41491728.183957435,Q1
113484.0,26627646.87268858,Q1
188964.0,-1412634.482600558,Q1
403547.0,3447204.3453419134,Q4
2.0,3011902.3641134095,Q1
10051659.0,28363237.927491352,Q5
855156907.0,588075341.5838091,Q5
10000000.0,10616732.927543173,Q5
432671.0,13427585.871157827,Q5
10000.0,1655450.862270305,Q3
541719.0,11986637.160804963,Q5
185576.0,12572131.465968348,Q1
408198.0,2410449.8099879483,Q3
2700000.0,15837712.004047696,Q2
513447.0,14531065.7477803,Q1
17754.0,23197851.67805902,Q1
230000.0,3455780.2146872752,Q4
1013596.0,8897469.651529184,Q1
669276.0,24623730.336013824,Q5
6897446.0,35825275.52581059,Q1
3500000.0,2732559.7425395017,Q4
4000000.0,18501526.42129446,Q1
1200000.0,6025748.73235433,Q3
1500000.0,9401947.727372585,Q2
100000.0,1659955.0320944039,Q3
15.0,2309541.385128549,Q2
37.0,3033890.6080287998,Q2
5873.0,1711083.431986506,Q3
11.0,6473430.900710467,Q2
3478368.0,7346721.505072743,Q2
418235869.0,156692976.72637063,Q5
278000.0,12777183.379540991,Q1
95589.0,3068977.358743715,Q3
100000.0,2149704.6594891706,Q3
984936.0,6775493.875475009,Q4
39.0,6653846.051091321,Q2
212200.0,1705351.0442806464,Q3
10232.0,67084445.06170028,Q1
12000.0,23406599.416739497,Q5
25.0,2275999.033239277,Q2
300.0,-740998.2834409506,Q2
12421716.0,12689605.357685803,Q2
20000.0,1234467.5461124731,Q3
20000.0,2748076.0479591843,Q3
1240000.0,4278095.643395173,Q4
1500000.0,2616950.7072062986,Q3
27000000.0,24051590.88986432,Q5
132675864.0,242619332.1258829,Q5
50000.0,2047493.826157764,Q3
14.0,3057166.508019817,Q1
10000.0,1671886.9013484556,Q3
2400000.0,25999808.866645146,Q1
1204739.0,13700830.161576878,Q4
2505528.0,3452660.778467972,Q4
400000.0,2668077.221033726,Q3
30000000.0,7289099.573776945,Q2
16657800.0,18930432.759118054,Q5
3745000.0,3595193.497677137,Q4
27814.0,1791613.9598233216,Q3
500000.0,2497624.924883363,Q3
10000.0,6091237.587479674,Q3
9600000.0,17276022.847983874,Q5
138.0,4531513.822253436,Q1
1.0,4909082.400444489,Q1
1303459585.0,969692424.0533217,Q5
400.0,1872276.6935287747,Q3
3.0,26297059.272437688,Q1
160188546.0,4472100.414190963,Q2
500000.0,3715340.1782417395,Q4
34000000.0,15942063.54686642,Q5
182710.0,4492776.101680777,Q4
4372130.0,19050384.880698763,Q1
2.0,7341400.193614697,Q2
4850.0,1457461.4374020002,Q3
4472886.0,3857528.6404684405,Q4
687505.0,15185784.424323192,Q1
100000.0,1080288.00060368,Q3
11303040.0,17305641.046710845,Q4
179780.0,9345563.70320121,Q1
962119864.0,597235965.8540953,Q5
3423685.0,3770359.4853313556,Q4
21.0,3678913.630148175,Q2
66265218.0,-1923987.196985812,Q2
11000.0,1664942.6214011519,Q3
1.0,3431019.1195204454,Q1
1136883.0,3463285.227247148,Q2
59000.0,8501431.433949491,Q1
2500000.0,4894109.249425986,Q3
490000.0,8725048.4651019,Q4
887613.0,3595193.497677137,Q4
12000000.0,5181866.267938509,Q2
1431461.0,-2185570.539515923,Q5
200.0,2275999.033239277,Q2
26877589.0,26900656.52373203,Q5
133818283.0,4766588.316862989,Q2
200.0,2309541.385128549,Q2
6300000.0,3371747.537718331,Q4
3100000.0,10933238.166766776,Q2
10000000.0,24663143.48466441,Q5
5000.0,1465187.3855440984,Q3
26622.0,3134003.69138869,Q3
94216343.0,37021722.13253267,Q5
197621.0,7059141.100424636,Q2
14000.0,1493922.821111263,Q3
1.0,-7014725.759560353,Q1
100000.0,1943129.6539000494,Q3
100000.0,1946858.0515613977,Q3
5600000.0,3454765.0450680377,Q4
1332459537.0,882347510.9289784,Q5
5000.0,1664942.6214011519,Q3
4000000.0,6640027.928360016,Q4
