true,hybrid,strata
33157615.0,106639951.95144787,Q5
2000000.0,2617741.1477213325,Q4
4074023.0,9261460.465132747,Q5
1798500.0,5169858.410305206,Q2
302459.0,8598213.517823583,Q2
17.0,2920325.164157456,Q2
1200000.0,8402372.057743128,Q2
12000000.0,9312940.116223983,Q5
200.0,557754.7020221836,Q2
43000000.0,6120803.433771156,Q2
81089.0,8662644.891400516,Q2
4154000.0,11249714.222339906,Q1
489389.0,9448042.277618416,Q2
2000000.0,4835319.85825132,Q4
6011000.0,9242699.71536172,Q5
29152618.0,62453526.30119169,Q5
7518876.0,12647365.24682533,Q5
73260114.0,116610557.73942587,Q1
351839303.0,177124777.49010044,Q5
10615000.0,9164855.954514446,Q1
120000.0,3334967.037637458,Q3
10375893.0,7647969.786253885,Q2
3.0,723848.2449836832,Q3
1001305.0,7884774.613165324,Q4
20000.0,3735756.4657778083,Q3
20016254.0,9769620.40021427,Q1
31307.0,36826375.60299202,Q3
117501013.0,91465314.78343184,Q5
3000000.0,3662122.4787204345,Q4
56631572.0,52897205.63011954,Q5
5086909.0,8565840.909240155,Q1
600000.0,1861270.396187397,Q3
708973.0,20653224.57269784,Q2
292351275.0,334228762.58695805,Q5
43.0,37581642.485242836,Q1
1015744.0,11732443.871959101,Q2
7270000.0,8443417.356514484,Q1
50000.0,777257.6598473652,Q3
6191746.0,12701925.380684024,Q5
4.0,757946.4245526772,Q3
2100000.0,3067643.227142962,Q4
12638526.0,54118712.19729032,Q5
14000.0,3223895.9613108127,Q3
1.0,542527.2936955483,Q2
201055.0,7396538.073597613,Q2
500000.0,3419606.9182684044,Q3
1958955.0,5175742.201865242,Q3
100000.0,729007.649497711,Q3
6900000.0,2998237.648802963,Q4
1061.0,8412561.395682001,Q2
2400000.0,3108785.560066656,Q4
1241891456.0,1137676594.3534877,Q5
200723.0,12745562.701482741,Q1
252706.0,10179310.233824693,Q2
3700000.0,3084203.2690918287,Q4
4.0,542527.2936955483,Q2
134906.0,2270530.1923350617,Q3
1947099.0,13410662.809076145,Q1
2884265.0,20769084.75269493,Q2
18957.0,15202966.384077355,Q2
1100000.0,4029665.112173912,Q4
13107237.0,9040899.255782573,Q1
200000.0,1863718.6608348703,Q3
450.0,758997.6916941197,Q3
2727971.0,10294782.59723175,Q1
2459000.0,2983457.4047631267,Q4
48686605.0,117677172.12295769,Q5
16000000.0,20638210.580924697,Q4
29163535.0,108399858.40997693,Q5
5000000.0,5963297.269238211,Q3
676045.0,3628907.362476614,Q4
285000.0,12078758.13738897,Q5
65421267.0,26291703.63912542,Q2
340677200.0,155900518.0308064,Q5
13638.0,7681845.938167101,Q2
1029455.0,3212151.203320993,Q3
10000.0,745908.9230097444,Q3
17.0,542476.8261023897,Q2
1.0,1228343.3649943203,Q2
117000.0,1451084.2690623866,Q3
1000000.0,8490098.32695632,Q1
3000000.0,4126051.099698491,Q4
33145.0,693507.3059523382,Q3
27741.0,12587885.18411576,Q1
300.0,542526.5666774549,Q2
53431158.0,99181848.01825675,Q5
18750000.0,11350072.980186379,Q2
11000.0,745128.199234961,Q3
2000000.0,15445667.362612601,Q1
43625095.0,17201748.25368118,Q4
1.0,3170838.1585835707,Q1
160542134.0,239558709.4510044,Q5
15550000.0,11274824.060047945,Q5
80000.0,2470004.3040504637,Q4
467306.0,8734842.819675358,Q4
2066633.0,19315446.202068456,Q2
334000000.0,126374492.14539117,Q1
113484.0,11268255.635873498,Q1
188964.0,2768720.22863855,Q1
403547.0,3034208.641300254,Q4
2.0,2496406.838227788,Q1
10051659.0,31165055.33992497,Q5
855156907.0,643872754.6530504,Q5
10000000.0,9479122.62663793,Q5
432671.0,10294774.65070501,Q5
10000.0,739453.5552723753,Q3
541719.0,11445197.03099886,Q5
185576.0,9413771.158559602,Q1
408198.0,3585842.205577253,Q3
2700000.0,3259227.287360168,Q2
513447.0,11142068.422570549,Q1
17754.0,13431024.157864826,Q1
230000.0,3026218.7225124594,Q4
1013596.0,8299878.032069249,Q1
669276.0,62370544.33978559,Q5
6897446.0,32392074.485289853,Q1
3500000.0,2452799.344307269,Q4
4000000.0,7831102.663396227,Q1
1200000.0,2820855.3656343063,Q3
1500000.0,8211015.5010674875,Q2
100000.0,742099.8587764322,Q3
15.0,542527.2936955483,Q2
37.0,1297483.0036276642,Q2
5873.0,715914.0531136072,Q3
11.0,3212921.3583307154,Q2
3478368.0,7176081.075341659,Q2
418235869.0,255346840.48593646,Q5
278000.0,8434870.467336359,Q1
95589.0,4691248.801988653,Q3
100000.0,1301891.2634525616,Q3
984936.0,11932387.814032156,Q4
39.0,3773884.0553470086,Q2
212200.0,1826853.159110839,Q3
10232.0,16630036.16882888,Q1
12000.0,11536324.484180462,Q5
25.0,542527.2936955483,Q2
300.0,542526.5666774549,Q2
12421716.0,8614908.616622174,Q2
20000.0,741199.5241749217,Q3
20000.0,3480140.846696732,Q3
1240000.0,4011500.4352437314,Q4
1500000.0,2064519.9554244706,Q3
27000000.0,24205209.26634792,Q5
132675864.0,253349530.39167273,Q5
